id_steam,name_imdb,name_steam,positive,negative,estimated_owners_min,estimated_owners_max
342580,Двенадцать подвигов Геракла,12 Labours of Hercules,2 813,191,100 000,200 000
289890,7.62,"7,62 High Calibre",345,107,50 000,100 000
1583570,Cимулятор одиночества в русской деревне,СИМУЛЯТОР ОДИНОЧЕСТВА В РУССКОЙ ДЕРЕВНЕ,870,248,20 000,50 000
33120,Alien Shooter 2: Reloaded,Alien Shooter 2: Reloaded,2 939,261,200 000,500 000
459160,Аллоды Онлайн,Allods Online,549,216,100 000,200 000
1693250,Войны Древности: Спарта,Ancient Wars: Sparta Definitive Edition,284,91,0,20 000
552620,Atom RPG,ATOM RPG: Post-apocalyptic indie game,8 766,1 821,500 000,1 000 000
1246591,"BEAR, VODKA, STALINGRAD!","BEAR, VODKA, STALINGRAD! 🐻 - STALIN MODE",0,0,0,20 000
1308950,Bhop Pro,Bhop PRO,43,192,0,20 000
1138660,Чёрная Книга,Black Book,5 389,423,200 000,500 000
289220,BorderZone,BorderZone,52,67,20 000,50 000
1449000,Call of LDPR,CALL OF LDPR,175,57,0,20 000
516000,Candy Thieves: Tale of Gnomes,Candy Thieves - Tale of Gnomes,3,0,0,20 000
3040220,Age of Pirates: Captain Blood,Captain Blood,0,0,0,20 000
1155830,Chernobyl: The Untold Story,CHERNOBYL: The Untold Story,208,78,20 000,50 000
1097280,Chimeras: Wailing Waters,Chimeras: Wailing Waters Collector's Edition,3,2,20 000,50 000
757030,Christmas Stories: A Christmas Carol,Christmas Stories: A Christmas Carol Collector's Edition,60,3,20 000,50 000
1970700,Cowboys Showdown,CowboysShowdown,12,11,0,20 000
356270,Карибский Кризис,Cuban Missile Crisis,202,69,20 000,50 000
223750,Digital Combat Simulator World,DCS World Steam Edition,30 993,5 411,2 000 000,5 000 000
250310,Su-27 Flanker,DCS: Su-27 Flaming Cliffs,1,0,0,20 000
34410,Death to Spies: Moment of Truth,Death to Spies: Moment of Truth,436,75,100 000,200 000
1016730,Deck of Ashes,Deck of Ashes,753,287,20 000,50 000
204760,Deep Black,Deep Black: Reloaded,61,159,20 000,50 000
33670,Disciples III: Renaissance,Disciples III - Renaissance Steam Special Edition,264,243,200 000,500 000
317970,Dusk-12,Dusk 12,102,111,20 000,50 000
311080,Шторм,Echelon,65,77,20 000,50 000
25850,Кодекс войны: Высшая раса,Elven Legacy,130,45,50 000,100 000
921800,Encased: A Sci-Fi Post-Apocalyptic RPG,Encased: A Sci-Fi Post-Apocalyptic RPG,3 476,1 006,200 000,500 000
1038630,Eternal Journey: New Atlantis,Eternal Journey: New Atlantis,63,5,0,20 000
331470,Бесконечное лето,Everlasting Summer,70 935,3 837,2 000 000,5 000 000
38120,Farm Frenzy,Farm Frenzy,153,6,20 000,50 000
38150,Farm Frenzy 3: Russian Roulette,Farm Frenzy 3,54,5,20 000,50 000
38140,Farm Frenzy 2: Pizza Party,Farm Frenzy: Pizza Party,32,4,0,20 000
1269180,Fatal Evidence 2: The Missing,Fatal Evidence: The Missing Collector's Edition,5,2,0,20 000
765770,Forest Legends: The Call of Love,Forest Legends: The Call of Love Collector's Edition,72,17,0,20 000
956400,Grim Tales: Bloody Mary,Grim Tales: Bloody Mary Collector's Edition,23,1,0,20 000
1181910,Halloween Chronicles: Evil Behind a Mask,Halloween Chronicles: Evil Behind a Mask Collector's Edition,22,0,0,20 000
1790470,Halloween Stories: The Neglected Dead,Halloween Stories: The Neglected Dead Collector's Edition,11,2,0,20 000
285500,Hard Truck: Apocalypse,Hard Truck Apocalypse / Ex Machina,2 092,410,100 000,200 000
1444650,Haydee II,Haydee 2,1 392,156,50 000,100 000
1504150,Hello Guest,Hello Guest: Hello Neighbor 2 pre-alpha,573,72,100 000,200 000
960420,Hello Neighbor: Hide & Seek,Hello Neighbor: Hide and Seek,789,143,20 000,50 000
15170,Герои меча и магии V,Heroes of Might & Magic V,3 291,452,500 000,1 000 000
15380,Heroes of Might and Magic V: Hammers of Fate,Heroes of Might & Magic V: Hammers of Fate,287,49,50 000,100 000
15370,Heroes of Might and Magic V: Tribes of the East,Heroes of Might & Magic V: Tribes of the East,2 657,209,200 000,500 000
1676520,Hidden Expedition: A King's Line,Hidden Expedition: A King's Line Collector's Edition,2,1,0,20 000
15320,IL-2 Sturmovik,IL-2 Sturmovik: 1946,2 605,342,200 000,500 000
307960,IL-2 Sturmovik: Battle of Stalingrad,IL-2 Sturmovik: Battle of Stalingrad,7 008,1 857,1 000 000,2 000 000
1373960,Indika,INDIKA,5 284,556,200 000,500 000
214970,Intrusion 2,Intrusion 2,1 813,221,200 000,500 000
394700,Karma Incarnation 1,Karma. Incarnation 1,301,64,50 000,100 000
3170,King's Bounty: Принцесса в доспехах,King's Bounty: Armored Princess,1 101,114,200 000,500 000
289520,King's Bounty: Тёмная сторона,King's Bounty: Dark Side,1 279,461,200 000,500 000
25900,King's Bounty: Легенда о рыцаре,King's Bounty: The Legend,2 964,299,200 000,500 000
203350,King's Bounty: Воин Севера,King's Bounty: Warriors of the North,1 467,359,200 000,500 000
250380,Knock-Knock,Knock-knock,1 654,250,200 000,500 000
1134040,Labyrinths of the World: Fool's Gold,Labyrinths of the World: Fool's Gold Collector's Edition,2,1,0,20 000
1393080,Labyrinths of the World: Hearts of the Planet,Labyrinths of the World: Hearts of the Planet Collector's Edition,6,2,0,20 000
615530,"Love, Money, Rock 'n' Roll","Love, Money, Rock'n'Roll",5 443,1 339,200 000,500 000
25980,Majesty 2: The Fantasy Kingdom Sim,Majesty 2,804,364,500 000,1 000 000
678430,Mayan Prophecies: Cursed Island,Mayan Prophecies: Cursed Island Collector's Edition,2,0,0,20 000
204860,Штрафбат,Men of War: Condemned Heroes,465,194,200 000,500 000
3130,Чёрные бушлаты,Men of War: Red Tide,687,118,100 000,200 000
63940,Диверсанты: Вьетнам,Men of War: Vietnam,790,427,200 000,500 000
1357870,Metel: Horror Escape,Metel - Horror Escape,1 968,122,100 000,200 000
740520,Mystery Tales: The Twilight World,Mystery Tales: The Twilight World Collector's Edition,6,1,0,20 000
3278740,Neuro,NEURO,9,3,0,20 000
597700,Ovivo,OVIVO,412,45,50 000,100 000
505230,Мор. Утопия,Pathologic 2,9 652,842,500 000,1 000 000
384110,Моr,Pathologic Classic HD,3 472,485,100 000,200 000
289440,Периметр: Геометрия войны,Perimeter,206,37,50 000,100 000
