name_imdb,release_year,imdb_score,rew_amount
01,,,
100,1995,,
1997,2023,,
35MM,2016,"6,5",34
7.62,2009,"7,6",14
9 Monkeys of Shaolin,2020,"5,8",12
Адреналин 2: Час Пик,2007,,
Адреналин: Экстрим-шоу,2005,"6,5",17
Аллоды Онлайн,2009,"7,0",26
Аллоды II: Повелитель душ,1999,"7,5",14
Аллоды: Печать тайны,1998,"7,8",15
Бесконечное лето,2013,"7,5",147
Веселая ферма 2,2008,"7,1",16
"Вий: История, рассказанная заново",2004,"6,9",23
Войны Древности: Спарта,2006,,
Герои меча и магии V,2006,"7,5",896
Гоблины 4,2009,"5,8",7
ГЭГ: Отвязное приключение,1997,,
Дальнобойщики 2,2001,"7,9",10
Дальнобойщики: Путь к победе,1998,"7,2",6
Двенадцать подвигов Геракла,2013,,
Десять миллионов,2011,,
Диверсанты: Вьетнам,2011,,
Дневной Дозор,2006,"6,2",6
Звездные волки,2004,,
Звездные волки 2,2006,,
Золотая Орда,2008,,
Карибский Кризис,2005,,
Кодекс войны: Высшая раса,2007,,
Метро-2,2005,"4,1",22
Метро-2: Смерть Вождя,2006,"4,3",15
Мир людей для малышей,2014,,
Мор. Утопия,2005,"7,9",134
Моr,2019,"7,8",130
Новые Бременские,2000,,
Одиссея черепашки,2004,"5,3",9
Периметр: Геометрия войны,2004,"5,8",16
Периметр: Завет Императора,2005,,
Петька VIII: Покорение Рима,2007,,
Полная труба,2003,"6,9",22
Проклятые земли,2000,"7,2",57
Санитары подземелий,2006,"5,8",30
Серп и молот,2005,,
Симбионт,2008,,
Скоро в школу,2008,,
Смешарики: Компьютер Ёжика,2005,,
Смешарики: Круглая компания,2004,,
Смута,2024,"2,9",41
Таби EX Дружок,2021,,
Тайны Города N,2007,,
Тайны Города N. Часть вторая,2007,,
Тургор,2008,"7,8",24
Хроники Тарр: Призраки звезд,2007,,
Хроники Тарр: Стражи Пограничья,2008,,
Чёрная Книга,2021,"6,8",28
Чёрные бушлаты,2009,"7,5",21
Шторм,2001,,
Штрафбат,2012,,
Adventures of Captain Blood,2010,,
Age of Pirates: Captain Blood,2024,,
Air Strike,2003,,
