id_steam,name_imdb,name_steam,release_date,price,developers,publishers
342580,Двенадцать подвигов Геракла,12 Labours of Hercules,23.03.2015,2.99,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios
289890,7.62,"7,62 High Calibre",30.04.2014,4.99,Apeiron,Fulqrum Publishing
1583570,Cимулятор одиночества в русской деревне,СИМУЛЯТОР ОДИНОЧЕСТВА В РУССКОЙ ДЕРЕВНЕ,09.04.2021,1.99,Guilty Pleasure Games,Guilty Pleasure Games
33120,Alien Shooter 2: Reloaded,Alien Shooter 2: Reloaded,27.05.2009,4.99,Sigma Team Inc.,Sigma Team Inc.
459160,Аллоды Онлайн,Allods Online,03.06.2016,0.0,IT Territory,MY.GAMES
1693250,Войны Древности: Спарта,Ancient Wars: Sparta Definitive Edition,28.01.2022,19.99,JOTASOFT STUDIOS,JOTASOFT STUDIOS
552620,Atom RPG,ATOM RPG: Post-apocalyptic indie game,19.12.2018,14.99,AtomTeam,AtomTeam
1246591,"BEAR, VODKA, STALINGRAD!","BEAR, VODKA, STALINGRAD! 🐻 - STALIN MODE",12.02.2020,0.99,Rabotiagi games,Rabotiagi games
1308950,Bhop Pro,Bhop PRO,05.07.2020,9.99,HorseGames,HorseGames
1138660,Чёрная Книга,Black Book,10.08.2021,8.74,Morteshka,HypeTrain Digital
289220,BorderZone,BorderZone,23.04.2014,2.99,"Saturn-plus, Orion",Fulqrum Publishing
1449000,Call of LDPR,CALL OF LDPR,19.01.2021,9.99,Mehsoft,Mehsoft
516000,Candy Thieves: Tale of Gnomes,Candy Thieves - Tale of Gnomes,24.10.2016,2.99,TrolleyBuzz LLC,TrolleyBuzz LLC
3040220,Age of Pirates: Captain Blood,Captain Blood,coming_soon,,"Seawolf Studio, General Arcade",SNEG
1155830,Chernobyl: The Untold Story,CHERNOBYL: The Untold Story,24.09.2019,2.99,Mehsoft,Mehsoft
1097280,Chimeras: Wailing Waters,Chimeras: Wailing Waters Collector's Edition,01.07.2022,9.99,Elephant Games,Big Fish Games
757030,Christmas Stories: A Christmas Carol,Christmas Stories: A Christmas Carol Collector's Edition,01.12.2017,9.99,Elephant Games,Big Fish Games
1970700,Cowboys Showdown,CowboysShowdown,25.05.2022,24.99,Gamesforgames,Gamesforgames
356270,Карибский Кризис,Cuban Missile Crisis,25.03.2015,4.99,G5 Software,Fulqrum Publishing
223750,Digital Combat Simulator World,DCS World Steam Edition,02.08.2013,,Eagle Dynamics SA,Eagle Dynamics SA
250310,Su-27 Flanker,DCS: Su-27 Flaming Cliffs,10.11.2014,7.49,Eagle Dynamics SA,Eagle Dynamics SA
34410,Death to Spies: Moment of Truth,Death to Spies: Moment of Truth,07.08.2009,6.99,Haggard Games,Fulqrum Publishing
1016730,Deck of Ashes,Deck of Ashes,09.06.2020,19.99,AYGames,ESDigital Games
204760,Deep Black,Deep Black: Reloaded,17.04.2012,,Biart,Strategy First
33670,Disciples III: Renaissance,Disciples III - Renaissance Steam Special Edition,16.07.2010,9.99,"Akella, .dat",Kalypso Media Digital
317970,Dusk-12,Dusk 12,22.08.2014,3.99,Orion Games,ESDigital Games
311080,Шторм,Echelon,03.07.2014,3.99,MADia Entertainment,ESDigital Games
25850,Кодекс войны: Высшая раса,Elven Legacy,07.04.2009,4.99,1C:InoCo,Fulqrum Publishing
921800,Encased: A Sci-Fi Post-Apocalyptic RPG,Encased: A Sci-Fi Post-Apocalyptic RPG,07.09.2021,5.99,Dark Crystal Games,Prime Matter
1038630,Eternal Journey: New Atlantis,Eternal Journey: New Atlantis,07.03.2019,6.99,Five BN,Alawar Casual
331470,Бесконечное лето,Everlasting Summer,19.11.2014,0.0,Soviet Games,Soviet Games
38120,Farm Frenzy,Farm Frenzy,15.02.2010,4.99,Alawar,Next Game
38150,Farm Frenzy 3: Russian Roulette,Farm Frenzy 3,15.02.2010,9.99,Alawar,Next Game
38140,Farm Frenzy 2: Pizza Party,Farm Frenzy: Pizza Party,15.02.2010,4.99,Alawar,Next Game
1269180,Fatal Evidence 2: The Missing,Fatal Evidence: The Missing Collector's Edition,20.03.2020,9.99,Domini Games,Big Fish Games
765770,Forest Legends: The Call of Love,Forest Legends: The Call of Love Collector's Edition,20.12.2017,9.99,Alawar Stargaze,Alawar Casual
956400,Grim Tales: Bloody Mary,Grim Tales: Bloody Mary Collector's Edition,16.11.2018,9.99,Elephant Games,Big Fish Games
1181910,Halloween Chronicles: Evil Behind a Mask,Halloween Chronicles: Evil Behind a Mask Collector's Edition,25.10.2019,9.99,Domini Games,Big Fish Games
1790470,Halloween Stories: The Neglected Dead,Halloween Stories: The Neglected Dead Collector's Edition,15.10.2021,13.99,Elephant Games,Big Fish Games
285500,Hard Truck: Apocalypse,Hard Truck Apocalypse / Ex Machina,14.03.2014,7.99,Targem Games,ESDigital Games
1444650,Haydee II,Haydee 2,23.11.2020,24.99,Haydee Interactive,Haydee Interactive
1504150,Hello Guest,Hello Guest: Hello Neighbor 2 pre-alpha,22.12.2020,,"Eerie Guest, tinyBuild",tinyBuild
960420,Hello Neighbor: Hide & Seek,Hello Neighbor: Hide and Seek,10.12.2019,29.99,Dynamic Pixels,tinyBuild
15170,Герои меча и магии V,Heroes of Might & Magic V,13.05.2008,9.99,Nival,Ubisoft
15380,Heroes of Might and Magic V: Hammers of Fate,Heroes of Might & Magic V: Hammers of Fate,10.10.2008,9.99,Nival,Ubisoft
15370,Heroes of Might and Magic V: Tribes of the East,Heroes of Might & Magic V: Tribes of the East,10.10.2008,9.99,Nival,Ubisoft
1676520,Hidden Expedition: A King's Line,Hidden Expedition: A King's Line Collector's Edition,25.06.2021,9.99,Domini Games,Big Fish Games
15320,IL-2 Sturmovik,IL-2 Sturmovik: 1946,13.06.2008,9.99,1C: Maddox Games,Fulqrum Publishing
307960,IL-2 Sturmovik: Battle of Stalingrad,IL-2 Sturmovik: Battle of Stalingrad,22.10.2014,49.99,1C Game Studios,FOR-GAMES CR LTD
1373960,Indika,INDIKA,02.05.2024,24.99,Odd Meter,11 bit studios
214970,Intrusion 2,Intrusion 2,11.09.2012,9.99,Aleksey Abramenko,Aleksey Abramenko
394700,Karma Incarnation 1,Karma. Incarnation 1,19.10.2016,4.99,AuraLab,Other Kind Games
